semSort,id,card,level,businessTerm,desc,defaultValue,dataType,syntaxId,businessTerm_ja,desc_ja,synSort,xPath,occur,,
1000,GL02,--,0,XBRL GL,"Contains all of the journal entry details for each transaction (e.g. associated journal entry ID, associated account number, debits or credits associated with the journal entry line). This table should be at the journal entry line level.",,,,,,1,/xbrli:xbrl,--,,
1010,GL02-01,1..1,1,Journal ID,Unique identifier for each journal entry.Typically auto-generated by the system.,,Identifier,,監査番号,このファイルの一意識別子。,4,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:documentInfo/gl-cor:uniqueID,1..1,,
1090,GL02-GL64,0..1,1,Specified GL Source,,,,,【仕訳情報】,エントリヘッダー/仕訳記入ヘッダーの親タグ。,26,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entryHeader,0..1,,
1100,GL64-01,1..1,2,Source Code,"Code for the source from which the journal entry originated.EXAMPLE   Sales journal, cash receipts journal, general journal, payroll journal, accountant manual entry, spreadsheet.Shall match the Source_Code [SrcCd] in the GL_Source [GlSrc] table.",,Identifier,,元仕訳帳種別,元仕訳帳。仕訳が処理される仕訳帳のコード。コードは仕訳帳に一意な指標であり、以下から選択する。\n出金(仕入先への小切手送付)、入金(他者からの小切手受領)、固定資産、振替、一般仕訳帳、在庫管理、個別原価、仕入帳(仕入による負債)、賃金台帳、売上台帳、通常仕訳、ユーザ定義、その他\n[設定値のリスト]\n(cd：出金)、(cr：入金)、(fa：固定資産)、(gi：振替)、(gj：一般仕訳帳)、(im：在庫管理)、(jc：個別原価)、(pj：仕入帳)、(pl：賃金台帳)、(sj：売上台帳)、(se：通常仕訳)、(ud：ユーザ定義)、(ot：その他),28,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:sourceJournalID,1..1,,
1110,GL64-02,0..1,2,Source Description,Description of the source system.,,Text,,作成元アプリケーション,このファイルを作り出した製品又はサービス。 多くのシステム(例えば、VATなど)で、使用される。 バージョン番号を含むことも可能。,5,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:documentInfo/gl-bus:sourceApplication,0..1,,
1120,GL64-03,0..1,2,ERP Subledger Module,"Description of the subledger or ERP module from which the journal entry originated.This should tie back to a system or significant accounting process. In some instances, it can be represented by the source system.",,Text,,元仕訳帳説明,元仕訳帳(一般仕訳、給与台帳、会計士入力の完全な説明)。 よりわかりやすい仕訳帳の指標。 最も一般的な仕訳帳は、次の通り。 仕入、売上、現金、一般仕訳。,29,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entryHeader/gl-bus:sourceJournalDescription,0..1,,
1130,GL64-04,0..1,2,System Manual Identifier,"Indicates whether the journal entry is system-generated or manually-entered.EXAMPLE   S is system-generated, M is manually-entered.",,Identifier,,仕訳起源,仕訳の起源。発生、手入力、インポート入力、為替換算による損益。,27,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entryHeader/gl-bus:entryOrigin,0..1,,
1140,GL02-GL57,0..1,2,Specified Created,Information about the data that was created into the system.,,,,【仕訳情報】,エントリヘッダー/仕訳記入ヘッダーの親タグ。,24,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entryHeader,0..1,,
1150,GL57-01,0..1,3,Created User ID,The unique identifier for the person who did the activity. Typically auto-generated by the system. Shall match the User_ID [UserId] in the BAS_User [BasUser] table.,,,,作成者,ファイルの作成者の識別子。,8,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:documentInfo/gl-bus:creator,0..1,,
1160,GL57-02,0..1,3,Created Date,"The date of activity. This should be a system generated date (rather than user-created date), when possible. This is sometimes referred to as the creation date.",,Date,,入力日付,コンピュータへ入力した実際の日付/時刻(システム日付から自動的に与えられ、システム時計の変更により、しばしば誤った値になる)を示す。 転記日付とは別に管理される。,25,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:enteredDate,0..1,,
