file1行範囲,file1テキスト,file2行範囲,file2テキスト,差分行
,data/JP-PINT/pint-jp.html,,data/JP-PINT/pint-jp-ntr.html,"--- 
"
,data/JP-PINT/pint-jp.html,,data/JP-PINT/pint-jp-ntr.html,"+++ 
"
"-1,11",data/JP-PINT/pint-jp.html,"+1,35",data/JP-PINT/pint-jp-ntr.html, 
"-1,11",data/JP-PINT/pint-jp.html,"+1,35",data/JP-PINT/pint-jp-ntr.html,+
"-1,11",data/JP-PINT/pint-jp.html,"+1,35",data/JP-PINT/pint-jp-ntr.html,"+<link rel=""stylesheet"" href=""../../css/bootstrap.min.css"">"
"-1,11",data/JP-PINT/pint-jp.html,"+1,35",data/JP-PINT/pint-jp-ntr.html,"+<link rel=""stylesheet"" href=""../../css/peppol_pdk.css"">"
"-1,11",data/JP-PINT/pint-jp.html,"+1,35",data/JP-PINT/pint-jp-ntr.html,"+<link rel=""stylesheet"" href=""../../css/main.css"">"
"-1,11",data/JP-PINT/pint-jp.html,"+1,35",data/JP-PINT/pint-jp-ntr.html,"+<link rel=""stylesheet"" href=""../../css/asciidoc-ext-pdk.css"">"
"-1,11",data/JP-PINT/pint-jp.html,"+1,35",data/JP-PINT/pint-jp-ntr.html,+
"-1,11",data/JP-PINT/pint-jp.html,"+1,35",data/JP-PINT/pint-jp-ntr.html,"+<div class=""navbar navbar-expand-lg navbar_light bg_light mb-4"">"
"-1,11",data/JP-PINT/pint-jp.html,"+1,35",data/JP-PINT/pint-jp-ntr.html,"+    <div class=""container"">"
"-1,11",data/JP-PINT/pint-jp.html,"+1,35",data/JP-PINT/pint-jp-ntr.html,+        
"-1,11",data/JP-PINT/pint-jp.html,"+1,35",data/JP-PINT/pint-jp-ntr.html,"+        <a class=""navbar-brand"" href=""../../"">"
"-1,11",data/JP-PINT/pint-jp.html,"+1,35",data/JP-PINT/pint-jp-ntr.html,"+            <img src=""../../images/peppol-logo.png"" height=""30"" class=""d-inline-block align-top"" alt="""""
"-1,11",data/JP-PINT/pint-jp.html,"+1,35",data/JP-PINT/pint-jp-ntr.html,"+            style=""width: inherit !important; height: 30px !important; vertical-align: top !important;"""
"-1,11",data/JP-PINT/pint-jp.html,"+1,35",data/JP-PINT/pint-jp-ntr.html,+            >
"-1,11",data/JP-PINT/pint-jp.html,"+1,35",data/JP-PINT/pint-jp-ntr.html,+            &nbsp;
"-1,11",data/JP-PINT/pint-jp.html,"+1,35",data/JP-PINT/pint-jp-ntr.html,+            Peppol Specifications for Japan implementation of PINT
"-1,11",data/JP-PINT/pint-jp.html,"+1,35",data/JP-PINT/pint-jp-ntr.html,+        </a>
"-1,11",data/JP-PINT/pint-jp.html,"+1,35",data/JP-PINT/pint-jp-ntr.html,+        
"-1,11",data/JP-PINT/pint-jp.html,"+1,35",data/JP-PINT/pint-jp-ntr.html,+
"-1,11",data/JP-PINT/pint-jp.html,"+1,35",data/JP-PINT/pint-jp-ntr.html,+        
"-1,11",data/JP-PINT/pint-jp.html,"+1,35",data/JP-PINT/pint-jp-ntr.html,+    </div>
"-1,11",data/JP-PINT/pint-jp.html,"+1,35",data/JP-PINT/pint-jp-ntr.html,+</div>
"-1,11",data/JP-PINT/pint-jp.html,"+1,35",data/JP-PINT/pint-jp-ntr.html,+
"-1,11",data/JP-PINT/pint-jp.html,"+1,35",data/JP-PINT/pint-jp-ntr.html,+
"-1,11",data/JP-PINT/pint-jp.html,"+1,35",data/JP-PINT/pint-jp-ntr.html,"+<div class=""container-fluid toc22"">"
"-1,11",data/JP-PINT/pint-jp.html,"+1,35",data/JP-PINT/pint-jp-ntr.html, <!DOCTYPE html>
"-1,11",data/JP-PINT/pint-jp.html,"+1,35",data/JP-PINT/pint-jp-ntr.html," <html lang=""en"">"
"-1,11",data/JP-PINT/pint-jp.html,"+1,35",data/JP-PINT/pint-jp-ntr.html, <head>
"-1,11",data/JP-PINT/pint-jp.html,"+1,35",data/JP-PINT/pint-jp-ntr.html," <meta charset=""UTF-8"">"
"-1,11",data/JP-PINT/pint-jp.html,"+1,35",data/JP-PINT/pint-jp-ntr.html," <meta http-equiv=""X-UA-Compatible"" content=""IE=edge"">"
"-1,11",data/JP-PINT/pint-jp.html,"+1,35",data/JP-PINT/pint-jp-ntr.html," <meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">"
"-1,11",data/JP-PINT/pint-jp.html,"+1,35",data/JP-PINT/pint-jp-ntr.html,"-<meta name=""generator"" content=""Asciidoctor 2.0.17"">"
"-1,11",data/JP-PINT/pint-jp.html,"+1,35",data/JP-PINT/pint-jp-ntr.html,"+<meta name=""generator"" content=""Asciidoctor 2.0.18"">"
"-1,11",data/JP-PINT/pint-jp.html,"+1,35",data/JP-PINT/pint-jp-ntr.html," <meta name=""description"" content=""The Peppol PINT Billing has been developed by the OpenPEPPOL AISBL Post Award Coordinating Community as a template for creating globally interoperable invoice specifications."">"
"-1,11",data/JP-PINT/pint-jp.html,"+1,35",data/JP-PINT/pint-jp-ntr.html, <title>Peppol International (PINT) model for Billing</title>
"-1,11",data/JP-PINT/pint-jp.html,"+1,35",data/JP-PINT/pint-jp-ntr.html," <link rel=""stylesheet"" href=""https://fonts.googleapis.com/css?family=Open+Sans:300,300italic,400,400italic,600,600italic%7CNoto+Serif:400,400italic,700,700italic%7CDroid+Sans+Mono:400,700"">"
"-86,10",data/JP-PINT/pint-jp.html,"+110,10",data/JP-PINT/pint-jp-ntr.html," ul,ol,dl{line-height:1.6;margin-bottom:1.25em;list-style-position:outside;font-family:inherit}"
"-86,10",data/JP-PINT/pint-jp.html,"+110,10",data/JP-PINT/pint-jp-ntr.html," ul,ol{margin-left:1.5em}"
"-86,10",data/JP-PINT/pint-jp.html,"+110,10",data/JP-PINT/pint-jp-ntr.html," ul li ul,ul li ol{margin-left:1.25em;margin-bottom:0}"
"-86,10",data/JP-PINT/pint-jp.html,"+110,10",data/JP-PINT/pint-jp-ntr.html,"-ul.square li ul,ul.circle li ul,ul.disc li ul{list-style:inherit}"
"-86,10",data/JP-PINT/pint-jp.html,"+110,10",data/JP-PINT/pint-jp-ntr.html,-ul.square{list-style-type:square}
"-86,10",data/JP-PINT/pint-jp.html,"+110,10",data/JP-PINT/pint-jp-ntr.html, ul.circle{list-style-type:circle}
"-86,10",data/JP-PINT/pint-jp.html,"+110,10",data/JP-PINT/pint-jp-ntr.html, ul.disc{list-style-type:disc}
"-86,10",data/JP-PINT/pint-jp.html,"+110,10",data/JP-PINT/pint-jp-ntr.html,+ul.square{list-style-type:square}
"-86,10",data/JP-PINT/pint-jp.html,"+110,10",data/JP-PINT/pint-jp-ntr.html,"+ul.circle ul:not([class]),ul.disc ul:not([class]),ul.square ul:not([class]){list-style:inherit}"
"-86,10",data/JP-PINT/pint-jp.html,"+110,10",data/JP-PINT/pint-jp-ntr.html," ol li ul,ol li ol{margin-left:1.25em;margin-bottom:0}"
"-86,10",data/JP-PINT/pint-jp.html,"+110,10",data/JP-PINT/pint-jp-ntr.html, dl dt{margin-bottom:.3125em;font-weight:bold}
"-86,10",data/JP-PINT/pint-jp.html,"+110,10",data/JP-PINT/pint-jp-ntr.html, dl dd{margin-bottom:1.25em}
"-572,8",data/JP-PINT/pint-jp.html,"+596,7",data/JP-PINT/pint-jp-ntr.html, </li>
"-572,8",data/JP-PINT/pint-jp.html,"+596,7",data/JP-PINT/pint-jp-ntr.html," <li><a href=""#_tax_information"">4. Tax information</a>"
"-572,8",data/JP-PINT/pint-jp.html,"+596,7",data/JP-PINT/pint-jp-ntr.html," <ul class=""sectlevel2"">"
"-572,8",data/JP-PINT/pint-jp.html,"+596,7",data/JP-PINT/pint-jp-ntr.html,"-<li><a href=""#_tax_in_accounting_currency"">4.1. Tax in accounting currency</a></li>"
"-572,8",data/JP-PINT/pint-jp.html,"+596,7",data/JP-PINT/pint-jp-ntr.html,"-<li><a href=""#_consumption_tax_in_japan"">4.2. Consumption Tax in Japan</a></li>"
"-572,8",data/JP-PINT/pint-jp.html,"+596,7",data/JP-PINT/pint-jp-ntr.html,"+<li><a href=""#_consumption_tax_in_japan"">4.1. Consumption Tax in Japan</a></li>"
"-572,8",data/JP-PINT/pint-jp.html,"+596,7",data/JP-PINT/pint-jp-ntr.html, </ul>
"-572,8",data/JP-PINT/pint-jp.html,"+596,7",data/JP-PINT/pint-jp-ntr.html, </li>
"-572,8",data/JP-PINT/pint-jp.html,"+596,7",data/JP-PINT/pint-jp-ntr.html," <li><a href=""#_rules"">5. Rules</a>"
"-608,7",data/JP-PINT/pint-jp.html,"+631,7",data/JP-PINT/pint-jp-ntr.html," <h1 id=""_link_to_main_site_of_documentation"" class=""sect0""><a class=""anchor"" href=""#_link_to_main_site_of_documentation""></a>Link to main site of documentation</h1>"
"-608,7",data/JP-PINT/pint-jp.html,"+631,7",data/JP-PINT/pint-jp-ntr.html," <div class=""openblock partintro"">"
"-608,7",data/JP-PINT/pint-jp.html,"+631,7",data/JP-PINT/pint-jp-ntr.html," <div class=""content"">"
"-608,7",data/JP-PINT/pint-jp.html,"+631,7",data/JP-PINT/pint-jp-ntr.html,"-<a href=""../../pint/"">Main documentation site</a>"
"-608,7",data/JP-PINT/pint-jp.html,"+631,7",data/JP-PINT/pint-jp-ntr.html,"+<a href=""https://test-docs.peppol.eu/pint/pint-jp/ntr-work-v1/pint-jp-ntr/"">Main documentation site</a>"
"-608,7",data/JP-PINT/pint-jp.html,"+631,7",data/JP-PINT/pint-jp-ntr.html, </div>
"-608,7",data/JP-PINT/pint-jp.html,"+631,7",data/JP-PINT/pint-jp-ntr.html, </div>
"-608,7",data/JP-PINT/pint-jp.html,"+631,7",data/JP-PINT/pint-jp-ntr.html," <div class=""sect1"">"
"-671,7",data/JP-PINT/pint-jp.html,"+694,7",data/JP-PINT/pint-jp-ntr.html," <div class=""sect2"">"
"-671,7",data/JP-PINT/pint-jp.html,"+694,7",data/JP-PINT/pint-jp-ntr.html," <h3 id=""_scope""><a class=""anchor"" href=""#_scope""></a>Scope</h3>"
"-671,7",data/JP-PINT/pint-jp.html,"+694,7",data/JP-PINT/pint-jp-ntr.html," <div class=""paragraph"">"
"-671,7",data/JP-PINT/pint-jp.html,"+694,7",data/JP-PINT/pint-jp-ntr.html,-<p>This document is concerned with clarifying requirements for ensuring interoperability  and provides guidelines for the support and implementation of these requirements. This document will also provide a detailed implementation guideline for the invoice and credit note transactions.</p>
"-671,7",data/JP-PINT/pint-jp.html,"+694,7",data/JP-PINT/pint-jp-ntr.html,+<p>This document is concerned with clarifying requirements for ensuring interoperability and provides guidelines for the support and implementation of these requirements. This document will also provide a detailed implementation guideline for the invoice and credit note transactions.</p>
"-671,7",data/JP-PINT/pint-jp.html,"+694,7",data/JP-PINT/pint-jp-ntr.html, </div>
"-671,7",data/JP-PINT/pint-jp.html,"+694,7",data/JP-PINT/pint-jp-ntr.html, </div>
"-671,7",data/JP-PINT/pint-jp.html,"+694,7",data/JP-PINT/pint-jp-ntr.html," <div class=""sect2"">"
